BuildingType,BuildingUse,BuildingHeight_m,Floors,AnnualEnergyConsumption_Wh
Low-rise,Residential,4,1,150000
High-rise,Residential,136.5,45,26463000
High-rise,Residential,230.6,69,19847000
High-rise,Residential,180,63,10878000
Mid-rise,Residential,59,16,5324000
Mid-rise,Residential,50,14,4350000
Low-rise,Residential,26.1,7,4763000
Low-rise,Residential,29,7,3969000
Low-rise,Residential,23.7,6,5294000
Low-rise,Residential,140,4,712000
Low-rise,Residential,140,4,1127000
Low-rise,Residential,146,4,1219000
Low-rise,Residential,17.4,4,1275000
Low-rise,Residential,16.5,4,1409000
Low-rise,Residential,11.2,3,2677000
Low-rise,Residential,13.4,3,2565000
Low-rise,Residential,12.4,3,1192000
Low-rise,Residential,11.6,3,1481000
Low-rise,Residential,10.2,2,2329000
Low-rise,Residential,11.2,5,21243000
Low-rise,Residential,140,6,950000
Low-rise,Residential,140,6,954000
Low-rise,Residential,13,6,511000
High-rise,Office,192,48,47815000
High-rise,Office,192,48,23725000
High-rise,Office,140,35,33507000
High-rise,Office,140,35,13834000
Mid-rise,Office,81,19,6900000
Mid-rise,Office,75,21,1237000
Mid-rise,Office,72,18,20623000
Mid-rise,Office,76,19,4.25368000
Mid-rise,Office,76,19,4.9198000
Mid-rise,Office,73.7,18,234943000
Mid-rise,Office,68.1,17,42705000
Mid-rise,Office,60.9,15,36106000
Mid-rise,Office,60.9,15,28449000
Mid-rise,Office,60.9,15,27798000
Mid-rise,Office,60.9,15,14690000
Mid-rise,Office,51.9,13,23926000
Mid-rise,Office,42.9,11,50009000
Low-rise,Office,27.5,9,3531000
Low-rise,Office,19.6,8,4389000
Low-rise,Office,26,7,5100000
Low-rise,Office,18,6,5800000
Low-rise,Office,18,6,6902000
Low-rise,Office,18,6,2441000
Low-rise,Office,14.6,4,5011000
Low-rise,Office,15.6,4,2346000
Low-rise,Office,11.8,3,1956000
Low-rise,Office,6.9,2,1828000
Low-rise,Office,4,1,1200000
